fieldID,fieldName,fieldType,defaultValue,fieldDescription,minValue,maxValue
vendettaHeader,Vendetta Header,Header,Vendetta,"Saturation-bombing a faction converts its grievance into a permanent Blood Feud: no settlements, tribute, truces, or expiry - a fixed blood-debt drive cycles toward saturation-bombardment reprisals against your worlds, bounded only by their real military capacity and the strength gate. Ends when one side has no worlds left.",,
commwars_vendettaEnabled,Vendetta Enabled,Boolean,true,"Sat-bombing a faction starts (or deepens) a blood feud instead of a mere resentment spike.",,
commwars_vendettaStartProgress,Vendetta Start Progress,Int,400,"Bar value a blood feud starts at (or is raised to) when declared.",0,600
commwars_vendettaPerMonth,Blood Debt per Month,Int,25,"Base monthly drive toward reprisal in a blood feud.",5,100
commwars_vendettaTempoMult,Vendetta Tempo Mult,Double,0.35,"Extra monthly drive per point of the faction's military-industrial score - great powers avenge relentlessly, broken rump states only sporadically. Cripple their military to slow (never stop) the feud.",0.0,2.0
commwars_gateRatio,Gate Ratio,Double,0.8,"Fraction of the player's military score a faction (plus partners) must muster to press demands.",0.1,2.0
commwars_coalitionDropoutChance,Dropout Chance,Double,0.5,"Chance for each coalition partner to lose its stomach when a coalition strike is defeated.",0.0,1.0
commwars_coalitionDropoutDays,Dropout Days,Double,180,"How long a demoralized faction stays out of coalition pools.",30,720
commwars_coalitionMinAnger,Coalition Min Anger,Int,200,"A faction only lends its strength to coalition partners while its own grievance bar is at least this - settle a member below the line to buy them out of the pact.",0,590
retalHeader,Retaliation Header,Header,Retaliation,"Your own raids and bombardments against a faction with an active grievance spike its resentment instantly - and can trigger enforcement outright (still subject to the strength gate and strike cooldown). Saturation bombardment ripples: emboldened rivals grow hotter, weak ones are cowed out of coalition pools.",,
commwars_retalRaidSpike,Raid Spike,Int,50,"Resentment gained when you raid one of their markets.",0,300
commwars_retalTacBombSpike,Tac Bomb Spike,Int,100,"Resentment gained when you tactically bombard one of their markets.",0,400
commwars_retalSatBombSpike,Sat Bomb Spike,Int,200,"Resentment gained when you saturation-bombard one of their markets.",0,600
commwars_atrocityPeerSpike,Atrocity Peer Spike,Int,100,"Resentment gained by OTHER emboldened aggrieved factions when you saturation-bombard anyone - if you did it to them, who is next?",0,400
debugHeader,Debug Header,Header,Debug,"Development tools. Debug Mode reveals every internal number on the grievance intel screen - shares, weights, thresholds, timers.",,
commwars_debugMode,Debug Mode,Boolean,false,"Reveal all internal stats on grievance intel screens (shares, raw weights, thresholds, timers).",,
commwars_debugLogging,Verbose Logging,Boolean,false,"Verbose [CommWars] lines in starsector.log.",,
commwars_debugFastClock,Fast Clock (10x),Boolean,false,"Multiplies all resentment accrual by 10 for rapid testing.",,
commwars_debugForceGrievance,Force Grievance,Boolean,false,"If no grievance is active, opens one against the best candidate faction on the next tick, ignoring the start threshold. Great for seeing the intel screen without an export empire.",,
commwars_debugForceUltimatum,Force Ultimatum,Boolean,false,"Every tick, jumps the angriest active grievance to the ultimatum stage. Toggle off after use.",,
commwars_debugForceStrike,Force Strike,Boolean,false,"Every tick, pushes the angriest active grievance to the enforcement stage, launching a strike if none is active. Toggle off after use.",,
